dataset,model,num_seeds,test_top1_mean,test_top1_std,test_top1_mean_std,test_top5_mean,test_top5_std,test_top5_mean_std,test_roc_auc_macro_mean,test_roc_auc_macro_std,test_roc_auc_macro_mean_std,param_count_mean,param_count_std,param_count_mean_std,flops_gmacs_mean,flops_gmacs_std,flops_gmacs_mean_std,throughput_images_per_sec_mean,throughput_images_per_sec_std,throughput_images_per_sec_mean_std,total_train_time_sec_mean,total_train_time_sec_std,total_train_time_sec_mean_std
cifar10,efficientnet_b0,1,0.6808000206947327,0.0,0.680800±0.000000,0.9663000106811523,0.0,0.966300±0.000000,,,NA,4020358.0,0.0,4020358.000000±0.000000,0.008798208,0.0,0.008798±0.000000,2916.3205867222237,0.0,2916.320587±0.000000,1961.5808555169497,0.0,1961.580856±0.000000
cifar10,efficientnet_b1,1,0.6409000158309937,0.0,0.640900±0.000000,0.9631999731063843,0.0,0.963200±0.000000,,,NA,6525994.0,0.0,6525994.000000±0.000000,0.013152512,0.0,0.013153±0.000000,2540.6819350627347,0.0,2540.681935±0.000000,2761.959008422913,0.0,2761.959008±0.000000
cifar10,mobilenetv2,1,0.6403999924659729,0.0,0.640400±0.000000,0.9593999981880188,0.0,0.959400±0.000000,,,NA,2236682.0,0.0,2236682.000000±0.000000,0.006398784,0.0,0.006399±0.000000,2999.782342176654,0.0,2999.782342±0.000000,1429.5251285769045,0.0,1429.525129±0.000000
cifar10,resnet18,1,0.7279000282287598,0.0,0.727900±0.000000,0.975600004196167,0.0,0.975600±0.000000,,,NA,11181642.0,0.0,11181642.000000±0.000000,0.037118464,0.0,0.037118±0.000000,1944.5592743107597,0.0,1944.559274±0.000000,1004.0554022390861,0.0,1004.055402±0.000000
cifar10,resnet50,1,0.6601999998092651,0.0,0.660200±0.000000,0.9607999920845032,0.0,0.960800±0.000000,,,NA,23528522.0,0.0,23528522.000000±0.000000,0.083887104,0.0,0.083887±0.000000,2883.0273726266273,0.0,2883.027373±0.000000,1559.108416320989,0.0,1559.108416±0.000000
cifar10,shufflenetv2,1,0.6322000026702881,0.0,0.632200±0.000000,0.9577000141143799,0.0,0.957700±0.000000,,,NA,1263854.0,0.0,1263854.000000±0.000000,0.003026248,0.0,0.003026±0.000000,1745.6573161528006,0.0,1745.657316±0.000000,1515.743646383984,0.0,1515.743646±0.000000
cifar10,vgg16,1,0.7961999773979187,0.0,0.796200±0.000000,0.9836000204086304,0.0,0.983600±0.000000,,,NA,134301514.0,0.0,134301514.000000±0.000000,0.43277568,0.0,0.432776±0.000000,3013.703952168251,0.0,3013.703952±0.000000,2263.0018453130033,0.0,2263.001845±0.000000
