dataset,model,num_seeds,test_top1_mean,test_top1_std,test_top1_mean_std,test_top5_mean,test_top5_std,test_top5_mean_std,test_roc_auc_macro_mean,test_roc_auc_macro_std,test_roc_auc_macro_mean_std,param_count_mean,param_count_std,param_count_mean_std,flops_gmacs_mean,flops_gmacs_std,flops_gmacs_mean_std,throughput_images_per_sec_mean,throughput_images_per_sec_std,throughput_images_per_sec_mean_std,total_train_time_sec_mean,total_train_time_sec_std,total_train_time_sec_mean_std
oxford_pets,efficientnet_b0,1,0.4407195448875427,0.0,0.440720±0.000000,0.7778686285018921,0.0,0.777869±0.000000,,,NA,4054945.0,0.0,4054945.000000±0.000000,0.400426752,0.0,0.400427±0.000000,661.1376940267594,0.0,661.137694±0.000000,494.13895188388415,0.0,494.138952±0.000000
oxford_pets,efficientnet_b1,1,0.41319161653518677,0.0,0.413192±0.000000,0.7536113262176514,0.0,0.753611±0.000000,,,NA,6560581.0,0.0,6560581.000000±0.000000,0.590686208,0.0,0.590686±0.000000,646.8677419852135,0.0,646.867742±0.000000,544.2692161691375,0.0,544.269216±0.000000
oxford_pets,mobilenetv2,1,0.3717634379863739,0.0,0.371763±0.000000,0.707822322845459,0.0,0.707822±0.000000,,,NA,2271269.0,0.0,2271269.000000±0.000000,0.312960576,0.0,0.312961±0.000000,695.8894371375064,0.0,695.889437±0.000000,473.89766321820207,0.0,473.897663±0.000000
oxford_pets,resnet18,1,0.435541033744812,0.0,0.435541±0.000000,0.7503407001495361,0.0,0.750341±0.000000,,,NA,11195493.0,0.0,11195493.000000±0.000000,1.8185728,0.0,1.818573±0.000000,684.6249913410331,0.0,684.624991±0.000000,461.16085402015597,0.0,461.160854±0.000000
oxford_pets,resnet50,1,0.28045788407325745,0.0,0.280458±0.000000,0.630416989326477,0.0,0.630417±0.000000,,,NA,23583845.0,0.0,23583845.000000±0.000000,4.109540352,0.0,4.109540±0.000000,643.2620005019622,0.0,643.262001±0.000000,480.8871349010151,0.0,480.887135±0.000000
oxford_pets,shufflenetv2,1,0.34260016679763794,0.0,0.342600±0.000000,0.6991005539894104,0.0,0.699101±0.000000,,,NA,1291529.0,0.0,1291529.000000±0.000000,0.14782228,0.0,0.147822±0.000000,685.8141301880586,0.0,685.814130±0.000000,487.5654995269142,0.0,487.565500±0.000000
oxford_pets,vgg16,1,0.17470701038837433,0.0,0.174707±0.000000,0.49386754631996155,0.0,0.493868±0.000000,,,NA,134412133.0,0.0,134412133.000000±0.000000,15.46634496,0.0,15.466345±0.000000,743.9338315919231,0.0,743.933832±0.000000,548.3957903569099,0.0,548.395790±0.000000
