dataset,model,num_seeds,test_top1_mean,test_top1_std,test_top1_mean_std,test_top5_mean,test_top5_std,test_top5_mean_std,test_roc_auc_macro_mean,test_roc_auc_macro_std,test_roc_auc_macro_mean_std,param_count_mean,param_count_std,param_count_mean_std,flops_gmacs_mean,flops_gmacs_std,flops_gmacs_mean_std,throughput_images_per_sec_mean,throughput_images_per_sec_std,throughput_images_per_sec_mean_std,total_train_time_sec_mean,total_train_time_sec_std,total_train_time_sec_mean_std
cifar10,tiny_convnet_w32,2,0.6189000010490417,0.003899991512298584,0.618900±0.003900,0.9560999870300293,0.001100003719329834,0.956100±0.001100,,,NA,94762.0,0.0,94762.000000±0.000000,0.01044608,0.0,0.010446±0.000000,3065.840450396997,11.628561642694649,3065.840450±11.628562,950.8097852838691,6.035337029024959,950.809785±6.035337
cifar10,tiny_kannet_w32,2,0.7087500095367432,0.0011500120162963867,0.708750±0.001150,0.9730499982833862,0.0013499855995178223,0.973050±0.001350,,,NA,1569578.0,0.0,1569578.000000±0.000000,0.09539712,0.0,0.095397±0.000000,3332.9921181255227,20.95388534612357,3332.992118±20.953885,1499.4878779954743,0.38309552846476436,1499.487878±0.383096
cifar100,tiny_convnet_w32,2,0.3192499876022339,0.003049999475479126,0.319250±0.003050,0.607699990272522,0.0020999908447265625,0.607700±0.002100,,,NA,106372.0,0.0,106372.000000±0.000000,0.0104576,0.0,0.010458±0.000000,3111.9384155116322,26.059058808122927,3111.938416±26.059059,946.2820130154723,0.6471351875225082,946.282013±0.647135
cifar100,tiny_kannet_w32,2,0.40594999492168427,0.002749994397163391,0.405950±0.002750,0.6951999962329865,0.0033999979496002197,0.695200±0.003400,,,NA,1581188.0,0.0,1581188.000000±0.000000,0.09540864,0.0,0.095409±0.000000,2999.928407080217,37.78933024881667,2999.928407±37.789330,1517.8243965599686,0.4881527789402753,1517.824397±0.488153
